Name,Latitude,Longitude,,
EES.BURAS8_CT,29.54383225,-89.76104736,,
LEPA.HOUMA_G14,29.57632358,-90.83084106,,
LEPA.HOUMA_G15,29.57632358,-90.83084106,,
LEPA.HOUMA_G16,29.57632358,-90.83084106,,
LEPA.MRGCTY_G3,29.70737792,-91.23664856,,
LEPA.MRGCTY_G4,29.70737792,-91.23664856,,
CLEC.TPS1,29.84016753,-91.54495239,,
CLEC.TPS3,29.84016753,-91.54495239,,
CLEC.TPS4,29.84016753,-91.54495239,,
EES.NINEMILE3,29.96730816,-90.15518188,,
EES.NINEMILE4,29.96730816,-90.15518188,,
EES.NINEMILE5,29.96730816,-90.15518188,,
EES.UCB,29.96730819,-90.46005249,,
EES.TAFTCOGEN,29.99109927,-90.47103882,,
EES.MICHOUD2,30.01726284,-89.94644165,,
EES.MICHOUD3,30.01726284,-89.94644165,,
EES.WATRFD1,30.03390885,-90.50674438,,
EES.WATRFD2,30.03390885,-90.50674438,,
EES.WATRFD3,30.03390885,-90.50674438,,
EES.WATRFD4_CT,30.03390885,-90.50674438,,
EES.SABINE1,30.05388032,-93.96537781,,
EES.SABINE2,30.05388032,-93.96537781,,
EES.SABINE3,30.05388032,-93.96537781,,
EES.SABINE4,30.05388032,-93.96537781,,
EES.SABINE5,30.05388032,-93.96537781,,
EES.SABINECO,30.05388032,-93.96537781,,
EES.L_GYPSY1,30.06006113,-90.48477173,,
EES.L_GYPSY2,30.06006113,-90.48477173,,
EES.L_GYPSY3,30.06006113,-90.48477173,,
EES.EXXOBMT,30.07753179,-94.12776947,,
EES.CONC,30.08050279,-93.8053894,,
EES.CALCAS1_CT,30.15652709,-93.35220337,,
EES.CALCAS2_CT,30.15652709,-93.35220337,,
EES.RICE1,30.15985188,-93.15994263,,
EES.LONSTR1,30.18929459,-93.35014343,,
EES.AXIALL,30.21113349,-93.40713501,,
EES.EWOM_RS,30.21528712,-93.35666656,,
LAFA.BONIN2,30.22608566,-92.0565033,,
LAFA.BONIN3,30.22608566,-92.0565033,,
LAFA.HARGIS1,30.22608566,-92.0565033,,
LAFA.HARGIS2,30.22608566,-92.0565033,,
LAFA.LABBE1,30.22608566,-92.0565033,,
LAFA.LABBE2,30.22608566,-92.0565033,,
LAFA.LAFA,30.22608566,-92.0565033,,
EES.CYPRESS1CT,30.24981452,-94.1960907,,
EES.CYPRESS2CT,30.24981452,-94.1960907,,
EES.CARV_A_CT,30.25384781,-91.04232788,,
EES.CARV_A_ST,30.25384781,-91.04232788,,
EES.CARV_BC_CT,30.25384781,-91.04232788,,
EES.CARV_BC_ST,30.25384781,-91.04232788,,
EES.W_GLEN2,30.2545596,-91.07185364,,
EES.W_GLEN4,30.2545596,-91.07185364,,
LAGN.CTW1,30.27377486,-93.72024536,,
LAGN.CTW2,30.27377486,-93.72024536,,
LAGN.CTW3,30.27377486,-93.72024536,,
LAGN.CTW4,30.27377486,-93.72024536,,
LAGN.BYCT1,30.28563425,-92.63259888,,
LAGN.BYCT2,30.28563425,-92.63259888,,
LAGN.BYCT3,30.28563425,-92.63259888,,
LAGN.BYCT4,30.28563425,-92.63259888,,
EES.NELSON1,30.29037757,-93.35769653,,
EES.NELSON2,30.29037757,-93.35769653,,
EES.NELSON4,30.29037757,-93.35769653,,
EES.NELSON6,30.29037757,-93.35769653,,
EES.DOWCHEM,30.2936978,-91.24488831,,
EES.EVRGRN_LD,30.29725504,-91.24900818,,
LEPA.PLAQ_G1,30.32333756,-91.23527527,,
LEPA.PLAQ_G2,30.32333756,-91.23527527,,
EES.ACAD2_CT1,30.32736786,-92.27554321,,
EES.ACAD2_CT2,30.32736786,-92.27554321,,
EES.ACAD2_ST,30.32736786,-92.27554321,,
EES.SAN_JC1_CT,30.34490968,-95.08529663,,
EES.SAN_JC2_CT,30.34490968,-95.08529663,,
CLEC.ACA11,30.35296835,-92.37579346,,
CLEC.ACA12,30.35296835,-92.37579346,,
CLEC.ACA13,30.35296835,-92.37579346,,
EES.L_CREEK1,30.41599279,-95.48355103,,
EES.L_CREEK2,30.41599279,-95.48355103,,
LOUISIANA.HUB,30.44962085,-91.10687256,,
EES.EXXON,30.49649119,-91.13571167,,
EES.ENCO,30.51281948,-91.18034363,,
EES.ESSO,30.51281948,-91.18034363,,
